shell,x_pos,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
4s,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,30.5,38.9,43.8,50.6,56.4,63.2,69.5,75,81.4,87.1,97,109.8,122.9,137.1,153.2,169.4,186,213.2,232.3,253.5,274.7,291,304.5,319.2,,347.2,360,378.6,396,414.2,432.4,449.8,470.9,480.5,506.8,538,563.4,594.1,625.4,658.2,691.1,725.4,762.1,802.2,846.2,891.8,939,995,1042,1097,1153,1208,1269,1330,1387,1439
4p 1/2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,16.3,21.3,24.4,28.5,32.6,37.6,42.3,46.3,50.5,55.7,63.7,69,73.5,83.6,95.6,103.3,123,146.7,172.4,192,205.8,223.2,236.3,243.3,242,265.6,284,291,322.4,333.5,343.5,366.2,385.9,388.7,412.4,438.2,463.4,490.4,518.7,549.1,577.8,609.1,642.7,680.2,720.5,761.9,805.2,851,886,929,980,1058,1080,1168,1224,1271
4p 3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,15.3,20.3,23.1,27.1,30.8,35.5,39.9,43.2,47.3,50.9,58.3,69,73.5,83.6,95.6,103.3,123,145.5,161.3,178.6,196,206.5,217.6,224.6,242,247.4,257,271,284.1,293.2,308.2,320.2,332.6,339.7,359.2,380.7,400.9,423.6,446.8,470.7,495.8,519.4,546.3,576.6,609.5,643.5,678.8,705,740,768,810,879,890,966.4,1007,1043
4d 3/2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,17.7,24.9,33.3,41.9,50.6,69.5,79.8,92.6,105.3,109,115.1,120.5,120,129,133,140.34,145.98,152.32,160,167.75,175.36,200.8,206.1,220,237.9,255.9,273.9,293.1,311.9,331.6,353.2,378.2,405.7,434.3,464,500,533,567,603,636,675,712.1,743,778.3
4d 5/2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,16.9,23.9,32.1,40.4,48.9,67.5,77.5,89.9,102.5,,115.1,120.5,120,129,134.5,140.34,145.98,152.32,160,167.75,175.36,182.4,196.3,211.5,226.4,243.5,260.5,278.5,296.3,314.6,335.1,358.8,385,412.2,440.1,473,507,541,577,603,639,675.2,708,736.2
4f 5/2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,1.5,,5.2,0,8.6,7.7,8,8.6,,,2.5,8.9,15.9,23.5,33.6,42.9,53.4,63.8,74.5,87.6,104,122.2,141.7,162.3,184,210,238,268,299,319,342.4,371,388.2
4f 7/2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,1.5,,5.2,0,8.6,2.4,4.3,5.2,4.7,4.6,1.3,7.16,14.28,21.8,31.34,40.31,50.7,60.8,71.2,84,99.82,117.7,136.82,157,184,210,238,268,299,310,333.1,360,377.4
5s,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,22.7,30.3,34.3,37.8,37.4,37.5,,37.4,39,36,45.6,49.9,49.3,50.6,54.7,52,57.3,64.2,69.7,75.6,83,84,95.2,101.7,107.2,127,136,147,159.3,177,195,214,234,254,272,290,310,321
5p 1/2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,14.2,17,19.3,19.8,22.3,21.1,,21.3,22,28,28.7,26.3,30.8,31.4,31.8,30.3,33.6,38,42.2,45.3,45.6,58,63,65.3,74.2,83.1,94.6,106.4,119,132,148,164,182,200,215,229,232,257
5p 3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,12.1,14.8,16.8,17,22.3,21.1,,21.3,22,21,22.6,26.3,24.1,24.7,25,24.1,26.7,29.9,32.7,36.8,34.6,44.5,48,51.7,57.2,64.5,73.5,83.3,92.6,104,115,127,140,153,167,182,232,192
5d 3/2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,14.7,20.7,26.9,31,40,48,58,68,80,92.5,94,102.8
5d 5/2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,12.5,18.1,23.8,31,40,48,58,68,80,85.4,94,94.2
6s,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,34,44,,41.4,,43.9
6p 1/2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,,24.5,,26.8
6p 3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,,16.6,,16.8
